2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_co/19_stddev              4149 us         4149 us          100 items_per_second=0.04734/s
BM_gao_additive_fft_co/19_cv                  1.42 %          1.42 %           100 items_per_second=1.38%
BM_gao_additive_fft_co/20_mean              744394 us       744337 us          100 items_per_second=1.34361/s
BM_gao_additive_fft_co/20_median            748729 us       748686 us          100 items_per_second=1.33567/s
BM_gao_additive_fft_co/20_stddev              7283 us         7277 us          100 items_per_second=0.0132729/s
BM_gao_additive_fft_co/20_cv                  0.98 %          0.98 %           100 items_per_second=0.99%
BM_gao_additive_fft_co_lvl2/5_mean            1.96 us         1.96 us          100 items_per_second=509.882k/s
BM_gao_additive_fft_co_lvl2/5_median          1.96 us         1.96 us          100 items_per_second=509.912k/s
BM_gao_additive_fft_co_lvl2/5_stddev         0.001 us        0.001 us          100 items_per_second=361.882/s
BM_gao_additive_fft_co_lvl2/5_cv              0.07 %          0.07 %           100 items_per_second=0.07%
BM_gao_additive_fft_co_lvl2/6_mean            4.81 us         4.81 us          100 items_per_second=208.012k/s
BM_gao_additive_fft_co_lvl2/6_median          4.87 us         4.87 us          100 items_per_second=205.507k/s
BM_gao_additive_fft_co_lvl2/6_stddev         0.107 us        0.107 us          100 items_per_second=4.68991k/s
BM_gao_additive_fft_co_lvl2/6_cv              2.23 %          2.23 %           100 items_per_second=2.25%
BM_gao_additive_fft_co_lvl2/7_mean            11.1 us         11.1 us          100 items_per_second=90.1382k/s
BM_gao_additive_fft_co_lvl2/7_median          11.1 us         11.1 us          100 items_per_second=89.9849k/s
BM_gao_additive_fft_co_lvl2/7_stddev         0.064 us        0.064 us          100 items_per_second=531.09/s
BM_gao_additive_fft_co_lvl2/7_cv              0.58 %          0.58 %           100 items_per_second=0.59%
BM_gao_additive_fft_co_lvl2/8_mean            25.5 us         25.5 us          100 items_per_second=39.2892k/s
BM_gao_additive_fft_co_lvl2/8_median          25.5 us         25.5 us          100 items_per_second=39.1819k/s
BM_gao_additive_fft_co_lvl2/8_stddev         0.127 us        0.127 us          100 items_per_second=196.47/s
BM_gao_additive_fft_co_lvl2/8_cv              0.50 %          0.50 %           100 items_per_second=0.50%
BM_gao_additive_fft_co_lvl2/9_mean            58.1 us         58.1 us          100 items_per_second=17.2117k/s
BM_gao_additive_fft_co_lvl2/9_median          57.9 us         57.9 us          100 items_per_second=17.2582k/s
BM_gao_additive_fft_co_lvl2/9_stddev         0.362 us        0.362 us          100 items_per_second=107.072/s
BM_gao_additive_fft_co_lvl2/9_cv              0.62 %          0.62 %           100 items_per_second=0.62%
